"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bear",0,31,0,"august.2020"
"A13","Bear",0,31,0,"august.2020"
"B02","Bear",0,31,0,"august.2020"
"B04","Bear",0,31,0,"august.2020"
"B06","Bear",1,31,0.032258064516129,"august.2020"
"B10","Bear",0,31,0,"august.2020"
"B12","Bear",0,31,0,"august.2020"
"B14","Bear",0,31,0,"august.2020"
"C03","Bear",1,31,0.032258064516129,"august.2020"
"C07","Bear",0,31,0,"august.2020"
"C09","Bear",0,31,0,"august.2020"
"C11","Bear",0,31,0,"august.2020"
"C15","Bear",0,31,0,"august.2020"
"C17","Bear",0,31,0,"august.2020"
"D08","Bear",0,18,0,"august.2020"
"D10","Bear",0,25,0,"august.2020"
"D14","Bear",0,31,0,"august.2020"
"D16","Bear",0,31,0,"august.2020"
"E05","Bear",0,31,0,"august.2020"
"E09","Bear",0,31,0,"august.2020"
"E11","Bear",0,31,0,"august.2020"
"E13","Bear",0,31,0,"august.2020"
"E15","Bear",0,31,0,"august.2020"
"E17","Bear",0,31,0,"august.2020"
"F04","Bear",0,31,0,"august.2020"
"F06","Bear",0,31,0,"august.2020"
"F08","Bear",0,31,0,"august.2020"
"F10","Bear",0,31,0,"august.2020"
"G09","Bear",0,31,0,"august.2020"
"G11","Bear",0,31,0,"august.2020"
"A03","Bird",0,31,0,"august.2020"
"A13","Bird",7,31,0.225806451612903,"august.2020"
"B02","Bird",1,31,0.032258064516129,"august.2020"
"B04","Bird",0,31,0,"august.2020"
"B06","Bird",0,31,0,"august.2020"
"B10","Bird",0,31,0,"august.2020"
"B12","Bird",0,31,0,"august.2020"
"B14","Bird",0,31,0,"august.2020"
"C03","Bird",2,31,0.0645161290322581,"august.2020"
"C07","Bird",0,31,0,"august.2020"
"C09","Bird",0,31,0,"august.2020"
"C11","Bird",1,31,0.032258064516129,"august.2020"
"C15","Bird",0,31,0,"august.2020"
"C17","Bird",0,31,0,"august.2020"
"D08","Bird",0,18,0,"august.2020"
"D10","Bird",0,25,0,"august.2020"
"D14","Bird",0,31,0,"august.2020"
"D16","Bird",0,31,0,"august.2020"
"E05","Bird",0,31,0,"august.2020"
"E09","Bird",0,31,0,"august.2020"
"E11","Bird",1,31,0.032258064516129,"august.2020"
"E13","Bird",0,31,0,"august.2020"
"E15","Bird",0,31,0,"august.2020"
"E17","Bird",0,31,0,"august.2020"
"F04","Bird",0,31,0,"august.2020"
"F06","Bird",0,31,0,"august.2020"
"F08","Bird",0,31,0,"august.2020"
"F10","Bird",0,31,0,"august.2020"
"G09","Bird",0,31,0,"august.2020"
"G11","Bird",0,31,0,"august.2020"
"A03","Bobcat",0,31,0,"august.2020"
"A13","Bobcat",0,31,0,"august.2020"
"B02","Bobcat",0,31,0,"august.2020"
"B04","Bobcat",0,31,0,"august.2020"
"B06","Bobcat",0,31,0,"august.2020"
"B10","Bobcat",0,31,0,"august.2020"
"B12","Bobcat",1,31,0.032258064516129,"august.2020"
"B14","Bobcat",1,31,0.032258064516129,"august.2020"
"C03","Bobcat",1,31,0.032258064516129,"august.2020"
"C07","Bobcat",0,31,0,"august.2020"
"C09","Bobcat",0,31,0,"august.2020"
"C11","Bobcat",0,31,0,"august.2020"
"C15","Bobcat",1,31,0.032258064516129,"august.2020"
