"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bear",0,31,0,"january.2019"
"A13","Bear",0,31,0,"january.2019"
"B02","Bear",0,31,0,"january.2019"
"B04","Bear",0,31,0,"january.2019"
"B06","Bear",0,31,0,"january.2019"
"B08","Bear",0,31,0,"january.2019"
"B10","Bear",0,31,0,"january.2019"
"B12","Bear",0,31,0,"january.2019"
"B14","Bear",0,31,0,"january.2019"
"C03","Bear",0,31,0,"january.2019"
"C05","Bear",0,31,0,"january.2019"
"C07","Bear",0,31,0,"january.2019"
"C09","Bear",0,31,0,"january.2019"
"C11","Bear",0,31,0,"january.2019"
"C15","Bear",0,31,0,"january.2019"
"C17","Bear",0,31,0,"january.2019"
"D04","Bear",0,31,0,"january.2019"
"D06","Bear",0,31,0,"january.2019"
"D08","Bear",0,31,0,"january.2019"
"D10","Bear",0,31,0,"january.2019"
"D12","Bear",0,31,0,"january.2019"
"D14","Bear",0,31,0,"january.2019"
"D16","Bear",0,31,0,"january.2019"
"E05","Bear",1,31,0.032258064516129,"january.2019"
"E07","Bear",0,31,0,"january.2019"
"E09","Bear",0,31,0,"january.2019"
"E11","Bear",0,31,0,"january.2019"
"E13","Bear",0,31,0,"january.2019"
"E15","Bear",0,31,0,"january.2019"
"E17","Bear",0,31,0,"january.2019"
"F04","Bear",0,31,0,"january.2019"
"F06","Bear",0,31,0,"january.2019"
"F08","Bear",0,22,0,"january.2019"
"F10","Bear",0,31,0,"january.2019"
"G09","Bear",1,31,0.032258064516129,"january.2019"
"G11","Bear",0,31,0,"january.2019"
"A03","Bird",0,31,0,"january.2019"
"A13","Bird",0,31,0,"january.2019"
"B02","Bird",3,31,0.0967741935483871,"january.2019"
"B04","Bird",1,31,0.032258064516129,"january.2019"
"B06","Bird",0,31,0,"january.2019"
"B08","Bird",0,31,0,"january.2019"
"B10","Bird",9,31,0.290322580645161,"january.2019"
"B12","Bird",0,31,0,"january.2019"
"B14","Bird",0,31,0,"january.2019"
"C03","Bird",0,31,0,"january.2019"
"C05","Bird",0,31,0,"january.2019"
