"Camera","Class","Count","Operation","RAI","TimePeriod"
"A13","Bear",0,31,0,"july.2018"
"B02","Bear",0,26,0,"july.2018"
"B04","Bear",0,31,0,"july.2018"
"B06","Bear",0,26,0,"july.2018"
"B08","Bear",0,31,0,"july.2018"
"B10","Bear",0,31,0,"july.2018"
"B12","Bear",0,31,0,"july.2018"
"B14","Bear",0,31,0,"july.2018"
"C03","Bear",3,31,0.0967741935483871,"july.2018"
"C09","Bear",0,31,0,"july.2018"
"C15","Bear",0,31,0,"july.2018"
"C17","Bear",0,31,0,"july.2018"
"D04","Bear",1,31,0.032258064516129,"july.2018"
"D06","Bear",0,26,0,"july.2018"
"D08","Bear",0,31,0,"july.2018"
"D10","Bear",0,26,0,"july.2018"
"D12","Bear",0,31,0,"july.2018"
"D14","Bear",0,31,0,"july.2018"
"D16","Bear",0,31,0,"july.2018"
"E05","Bear",0,31,0,"july.2018"
"E07","Bear",0,31,0,"july.2018"
"E09","Bear",0,31,0,"july.2018"
"E11","Bear",0,31,0,"july.2018"
"E13","Bear",0,31,0,"july.2018"
"E15","Bear",0,31,0,"july.2018"
"F06","Bear",0,26,0,"july.2018"
"F08","Bear",1,31,0.032258064516129,"july.2018"
"F10","Bear",0,26,0,"july.2018"
"G09","Bear",1,26,0.0384615384615385,"july.2018"
"G11","Bear",0,31,0,"july.2018"
"A13","Bird",0,31,0,"july.2018"
"B02","Bird",96,26,3.69230769230769,"july.2018"
"B04","Bird",0,31,0,"july.2018"
"B06","Bird",0,26,0,"july.2018"
"B08","Bird",0,31,0,"july.2018"
"B10","Bird",0,31,0,"july.2018"
"B12","Bird",0,31,0,"july.2018"
"B14","Bird",15,31,0.483870967741935,"july.2018"
"C03","Bird",1,31,0.032258064516129,"july.2018"
"C09","Bird",0,31,0,"july.2018"
"C15","Bird",2,31,0.0645161290322581,"july.2018"
"C17","Bird",0,31,0,"july.2018"
"D04","Bird",0,31,0,"july.2018"
"D06","Bird",0,26,0,"july.2018"
"D08","Bird",0,31,0,"july.2018"
"D10","Bird",0,26,0,"july.2018"
"D12","Bird",0,31,0,"july.2018"
"D14","Bird",0,31,0,"july.2018"
"D16","Bird",0,31,0,"july.2018"
"E05","Bird",3,31,0.0967741935483871,"july.2018"
"E07","Bird",0,31,0,"july.2018"
"E09","Bird",0,31,0,"july.2018"
"E11","Bird",0,31,0,"july.2018"
"E13","Bird",0,31,0,"july.2018"
"E15","Bird",0,31,0,"july.2018"
"F06","Bird",0,26,0,"july.2018"
"F08","Bird",2,31,0.0645161290322581,"july.2018"
"F10","Bird",0,26,0,"july.2018"
"G09","Bird",0,26,0,"july.2018"
"G11","Bird",0,31,0,"july.2018"
"A13","Bobcat",0,31,0,"july.2018"
"B02","Bobcat",0,26,0,"july.2018"
"B04","Bobcat",1,31,0.032258064516129,"july.2018"
"B06","Bobcat",0,26,0,"july.2018"
"B08","Bobcat",0,31,0,"july.2018"
"B10","Bobcat",0,31,0,"july.2018"
"B12","Bobcat",0,31,0,"july.2018"
"B14","Bobcat",0,31,0,"july.2018"
"C03","Bobcat",1,31,0.032258064516129,"july.2018"
"C09","Bobcat",0,31,0,"july.2018"
"C15","Bobcat",0,31,0,"july.2018"
"C17","Bobcat",1,31,0.032258064516129,"july.2018"
"D04","Bobcat",0,31,0,"july.2018"
"D06","Bobcat",0,26,0,"july.2018"
"D08","Bobcat",0,31,0,"july.2018"
"D10","Bobcat",0,26,0,"july.2018"
"D12","Bobcat",0,31,0,"july.2018"
