"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bear",0,29.5,0,"march.2021"
"A13","Bear",0,27.5,0,"march.2021"
"B02","Bear",0,15.5,0,"march.2021"
"B04","Bear",0,22.5,0,"march.2021"
"B06","Bear",0,30.5,0,"march.2021"
"B08","Bear",0,30.5,0,"march.2021"
"B10","Bear",0,30.5,0,"march.2021"
"B12","Bear",0,6.5,0,"march.2021"
"B14","Bear",0,29.5,0,"march.2021"
"C03","Bear",2,30.5,0.0655737704918033,"march.2021"
"C05","Bear",0,30.5,0,"march.2021"
"C07","Bear",0,31,0,"march.2021"
"C09","Bear",0,15.5,0,"march.2021"
"C11","Bear",0,22.5,0,"march.2021"
"C15","Bear",0,11.5,0,"march.2021"
"C17","Bear",0,6.5,0,"march.2021"
"D04","Bear",0,24.5,0,"march.2021"
"D06","Bear",0,19.5,0,"march.2021"
"D08","Bear",0,30.5,0,"march.2021"
"D10","Bear",0,10.5,0,"march.2021"
"D12","Bear",0,22.5,0,"march.2021"
"D14","Bear",0,18.5,0,"march.2021"
"D16","Bear",0,23.5,0,"march.2021"
"E05","Bear",0,16.5,0,"march.2021"
"E07","Bear",0,10.5,0,"march.2021"
"E11","Bear",0,31,0,"march.2021"
"E13","Bear",0,27.5,0,"march.2021"
"E15","Bear",0,18.5,0,"march.2021"
"F04","Bear",0,0,NA,"march.2021"
"F06","Bear",0,28.5,0,"march.2021"
"F08","Bear",0,14.5,0,"march.2021"
"F10","Bear",0,14.5,0,"march.2021"
"G09","Bear",0,31,0,"march.2021"
"G11","Bear",0,7.5,0,"march.2021"
"A03","Bird",0,29.5,0,"march.2021"
"A13","Bird",15,27.5,0.545454545454545,"march.2021"
"B02","Bird",0,15.5,0,"march.2021"
"B04","Bird",0,22.5,0,"march.2021"
"B06","Bird",0,30.5,0,"march.2021"
"B08","Bird",0,30.5,0,"march.2021"
"B10","Bird",0,30.5,0,"march.2021"
"B12","Bird",0,6.5,0,"march.2021"
"B14","Bird",1,29.5,0.0338983050847458,"march.2021"
"C03","Bird",3,30.5,0.0983606557377049,"march.2021"
"C05","Bird",0,30.5,0,"march.2021"
"C07","Bird",0,31,0,"march.2021"
"C09","Bird",0,15.5,0,"march.2021"
"C11","Bird",1,22.5,0.0444444444444444,"march.2021"
"C15","Bird",0,11.5,0,"march.2021"
"C17","Bird",0,6.5,0,"march.2021"
"D04","Bird",0,24.5,0,"march.2021"
"D06","Bird",0,19.5,0,"march.2021"
"D08","Bird",0,30.5,0,"march.2021"
"D10","Bird",0,10.5,0,"march.2021"
"D12","Bird",0,22.5,0,"march.2021"
"D14","Bird",0,18.5,0,"march.2021"
"D16","Bird",0,23.5,0,"march.2021"
"E05","Bird",0,16.5,0,"march.2021"
"E07","Bird",0,10.5,0,"march.2021"
"E11","Bird",0,31,0,"march.2021"
"E13","Bird",0,27.5,0,"march.2021"
"E15","Bird",0,18.5,0,"march.2021"
"F04","Bird",0,0,NA,"march.2021"
"F06","Bird",0,28.5,0,"march.2021"
"F08","Bird",0,14.5,0,"march.2021"
"F10","Bird",0,14.5,0,"march.2021"
"G09","Bird",0,31,0,"march.2021"
"G11","Bird",0,7.5,0,"march.2021"
"A03","Bobcat",0,29.5,0,"march.2021"
"A13","Bobcat",0,27.5,0,"march.2021"
"B02","Bobcat",0,15.5,0,"march.2021"
"B04","Bobcat",1,22.5,0.0444444444444444,"march.2021"
"B06","Bobcat",3,30.5,0.0983606557377049,"march.2021"
