"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bat",0,31,0,"may.2016"
"A13","Bat",0,31,0,"may.2016"
"B02","Bat",0,25.5,0,"may.2016"
"B04","Bat",0,25.5,0,"may.2016"
"B06","Bat",0,26.5,0,"may.2016"
"B08","Bat",0,31,0,"may.2016"
"B10","Bat",0,31,0,"may.2016"
"B12","Bat",0,31,0,"may.2016"
"B14","Bat",0,31,0,"may.2016"
"C03","Bat",0,31,0,"may.2016"
"C05","Bat",1,20.5,0.0487804878048781,"may.2016"
"C07","Bat",0,31,0,"may.2016"
"C09","Bat",0,31,0,"may.2016"
"C11","Bat",1,31,0.032258064516129,"may.2016"
"C15","Bat",0,12.5,0,"may.2016"
"C17","Bat",0,12.5,0,"may.2016"
"D04","Bat",0,31,0,"may.2016"
"D06","Bat",0,20.5,0,"may.2016"
"D08","Bat",0,10.5,0,"may.2016"
"D10","Bat",0,14.5,0,"may.2016"
"D12","Bat",0,31,0,"may.2016"
"D14","Bat",0,12.5,0,"may.2016"
"E05","Bat",0,31,0,"may.2016"
"E07","Bat",0,18.5,0,"may.2016"
"E09","Bat",0,31,0,"may.2016"
"E11","Bat",0,12.5,0,"may.2016"
"E13","Bat",0,31,0,"may.2016"
"E15","Bat",0,31,0,"may.2016"
"E17","Bat",0,30.5,0,"may.2016"
"F06","Bat",0,31,0,"may.2016"
"F08","Bat",0,31,0,"may.2016"
"F10","Bat",0,31,0,"may.2016"
"G09","Bat",1,18.5,0.0540540540540541,"may.2016"
"G11","Bat",0,19.5,0,"may.2016"
"A03","Bear",0,31,0,"may.2016"
"A13","Bear",0,31,0,"may.2016"
"B02","Bear",2,25.5,0.0784313725490196,"may.2016"
"B04","Bear",0,25.5,0,"may.2016"
"B06","Bear",0,26.5,0,"may.2016"
"B08","Bear",0,31,0,"may.2016"
"B10","Bear",0,31,0,"may.2016"
"B12","Bear",0,31,0,"may.2016"
"B14","Bear",0,31,0,"may.2016"
"C03","Bear",1,31,0.032258064516129,"may.2016"
"C05","Bear",0,20.5,0,"may.2016"
"C07","Bear",0,31,0,"may.2016"
"C09","Bear",0,31,0,"may.2016"
"C11","Bear",0,31,0,"may.2016"
"C15","Bear",0,12.5,0,"may.2016"
"C17","Bear",0,12.5,0,"may.2016"
"D04","Bear",0,31,0,"may.2016"
"D06","Bear",0,20.5,0,"may.2016"
"D08","Bear",0,10.5,0,"may.2016"
"D10","Bear",0,14.5,0,"may.2016"
"D12","Bear",0,31,0,"may.2016"
"D14","Bear",0,12.5,0,"may.2016"
"E05","Bear",0,31,0,"may.2016"
"E07","Bear",0,18.5,0,"may.2016"
"E09","Bear",0,31,0,"may.2016"
"E11","Bear",0,12.5,0,"may.2016"
"E13","Bear",0,31,0,"may.2016"
"E15","Bear",0,31,0,"may.2016"
"E17","Bear",0,30.5,0,"may.2016"
"F06","Bear",0,31,0,"may.2016"
"F08","Bear",0,31,0,"may.2016"
"F10","Bear",0,31,0,"may.2016"
"G09","Bear",0,18.5,0,"may.2016"
"G11","Bear",0,19.5,0,"may.2016"
"A03","Bird",0,31,0,"may.2016"
"A13","Bird",0,31,0,"may.2016"
"B02","Bird",13,25.5,0.509803921568627,"may.2016"
"B04","Bird",0,25.5,0,"may.2016"
"B06","Bird",0,26.5,0,"may.2016"
"B08","Bird",0,31,0,"may.2016"
"B10","Bird",0,31,0,"may.2016"
"B12","Bird",0,31,0,"may.2016"
"B14","Bird",1,31,0.032258064516129,"may.2016"
"C03","Bird",0,31,0,"may.2016"
"C05","Bird",0,20.5,0,"may.2016"
"C07","Bird",0,31,0,"may.2016"
"C09","Bird",0,31,0,"may.2016"
"C11","Bird",0,31,0,"may.2016"
"C15","Bird",0,12.5,0,"may.2016"
"C17","Bird",1,12.5,0.08,"may.2016"
"D04","Bird",0,31,0,"may.2016"
"D06","Bird",0,20.5,0,"may.2016"
"D08","Bird",0,10.5,0,"may.2016"
"D10","Bird",0,14.5,0,"may.2016"
"D12","Bird",0,31,0,"may.2016"
"D14","Bird",0,12.5,0,"may.2016"
"E05","Bird",0,31,0,"may.2016"
"E07","Bird",2,18.5,0.108108108108108,"may.2016"
"E09","Bird",1,31,0.032258064516129,"may.2016"
"E11","Bird",0,12.5,0,"may.2016"
"E13","Bird",0,31,0,"may.2016"
"E15","Bird",0,31,0,"may.2016"
"E17","Bird",5,30.5,0.163934426229508,"may.2016"
"F06","Bird",0,31,0,"may.2016"
"F08","Bird",0,31,0,"may.2016"
"F10","Bird",0,31,0,"may.2016"
"G09","Bird",0,18.5,0,"may.2016"
"G11","Bird",0,19.5,0,"may.2016"
"A03","Bobcat",0,31,0,"may.2016"
"A13","Bobcat",0,31,0,"may.2016"
"B02","Bobcat",0,25.5,0,"may.2016"
"B04","Bobcat",0,25.5,0,"may.2016"
"B06","Bobcat",0,26.5,0,"may.2016"
"B08","Bobcat",0,31,0,"may.2016"
"B10","Bobcat",1,31,0.032258064516129,"may.2016"
"B12","Bobcat",0,31,0,"may.2016"
"B14","Bobcat",0,31,0,"may.2016"
"C03","Bobcat",2,31,0.0645161290322581,"may.2016"
"C05","Bobcat",0,20.5,0,"may.2016"
"C07","Bobcat",0,31,0,"may.2016"
"C09","Bobcat",0,31,0,"may.2016"
"C11","Bobcat",0,31,0,"may.2016"
"C15","Bobcat",0,12.5,0,"may.2016"
"C17","Bobcat",0,12.5,0,"may.2016"
"D04","Bobcat",0,31,0,"may.2016"
"D06","Bobcat",0,20.5,0,"may.2016"
"D08","Bobcat",0,10.5,0,"may.2016"
"D10","Bobcat",0,14.5,0,"may.2016"
"D12","Bobcat",0,31,0,"may.2016"
"D14","Bobcat",0,12.5,0,"may.2016"
"E05","Bobcat",0,31,0,"may.2016"
"E07","Bobcat",1,18.5,0.0540540540540541,"may.2016"
"E09","Bobcat",0,31,0,"may.2016"
"E11","Bobcat",1,12.5,0.08,"may.2016"
"E13","Bobcat",0,31,0,"may.2016"
"E15","Bobcat",0,31,0,"may.2016"
"E17","Bobcat",0,30.5,0,"may.2016"
"F06","Bobcat",0,31,0,"may.2016"
"F08","Bobcat",0,31,0,"may.2016"
"F10","Bobcat",0,31,0,"may.2016"
"G09","Bobcat",0,18.5,0,"may.2016"
"G11","Bobcat",0,19.5,0,"may.2016"
"A03","Coyote",0,31,0,"may.2016"
"A13","Coyote",0,31,0,"may.2016"
"B02","Coyote",0,25.5,0,"may.2016"
"B04","Coyote",1,25.5,0.0392156862745098,"may.2016"
"B06","Coyote",2,26.5,0.0754716981132075,"may.2016"
"B08","Coyote",0,31,0,"may.2016"
"B10","Coyote",0,31,0,"may.2016"
"B12","Coyote",0,31,0,"may.2016"
"B14","Coyote",0,31,0,"may.2016"
"C03","Coyote",1,31,0.032258064516129,"may.2016"
"C05","Coyote",0,20.5,0,"may.2016"
"C07","Coyote",0,31,0,"may.2016"
"C09","Coyote",0,31,0,"may.2016"
"C11","Coyote",3,31,0.0967741935483871,"may.2016"
"C15","Coyote",0,12.5,0,"may.2016"
"C17","Coyote",0,12.5,0,"may.2016"
"D04","Coyote",5,31,0.161290322580645,"may.2016"
"D06","Coyote",2,20.5,0.0975609756097561,"may.2016"
"D08","Coyote",1,10.5,0.0952380952380952,"may.2016"
"D10","Coyote",0,14.5,0,"may.2016"
"D12","Coyote",1,31,0.032258064516129,"may.2016"
"D14","Coyote",0,12.5,0,"may.2016"
"E05","Coyote",2,31,0.0645161290322581,"may.2016"
"E07","Coyote",0,18.5,0,"may.2016"
"E09","Coyote",0,31,0,"may.2016"
"E11","Coyote",0,12.5,0,"may.2016"
"E13","Coyote",0,31,0,"may.2016"
"E15","Coyote",0,31,0,"may.2016"
"E17","Coyote",0,30.5,0,"may.2016"
"F06","Coyote",0,31,0,"may.2016"
"F08","Coyote",1,31,0.032258064516129,"may.2016"
"F10","Coyote",2,31,0.0645161290322581,"may.2016"
"G09","Coyote",0,18.5,0,"may.2016"
"G11","Coyote",1,19.5,0.0512820512820513,"may.2016"
"A03","Deer - Buck Antlerless",0,31,0,"may.2016"
"A13","Deer - Buck Antlerless",0,31,0,"may.2016"
"B02","Deer - Buck Antlerless",0,25.5,0,"may.2016"
"B04","Deer - Buck Antlerless",0,25.5,0,"may.2016"
"B06","Deer - Buck Antlerless",0,26.5,0,"may.2016"
"B08","Deer - Buck Antlerless",0,31,0,"may.2016"
"B10","Deer - Buck Antlerless",0,31,0,"may.2016"
"B12","Deer - Buck Antlerless",2,31,0.0645161290322581,"may.2016"
"B14","Deer - Buck Antlerless",0,31,0,"may.2016"
"C03","Deer - Buck Antlerless",0,31,0,"may.2016"
"C05","Deer - Buck Antlerless",0,20.5,0,"may.2016"
"C07","Deer - Buck Antlerless",0,31,0,"may.2016"
"C09","Deer - Buck Antlerless",0,31,0,"may.2016"
"C11","Deer - Buck Antlerless",0,31,0,"may.2016"
"C15","Deer - Buck Antlerless",0,12.5,0,"may.2016"
"C17","Deer - Buck Antlerless",0,12.5,0,"may.2016"
"D04","Deer - Buck Antlerless",9,31,0.290322580645161,"may.2016"
"D06","Deer - Buck Antlerless",0,20.5,0,"may.2016"
"D08","Deer - Buck Antlerless",0,10.5,0,"may.2016"
"D10","Deer - Buck Antlerless",0,14.5,0,"may.2016"
"D12","Deer - Buck Antlerless",0,31,0,"may.2016"
"D14","Deer - Buck Antlerless",0,12.5,0,"may.2016"
"E05","Deer - Buck Antlerless",0,31,0,"may.2016"
"E07","Deer - Buck Antlerless",0,18.5,0,"may.2016"
"E09","Deer - Buck Antlerless",1,31,0.032258064516129,"may.2016"
"E11","Deer - Buck Antlerless",0,12.5,0,"may.2016"
"E13","Deer - Buck Antlerless",0,31,0,"may.2016"
"E15","Deer - Buck Antlerless",0,31,0,"may.2016"
"E17","Deer - Buck Antlerless",0,30.5,0,"may.2016"
"F06","Deer - Buck Antlerless",0,31,0,"may.2016"
"F08","Deer - Buck Antlerless",0,31,0,"may.2016"
"F10","Deer - Buck Antlerless",0,31,0,"may.2016"
"G09","Deer - Buck Antlerless",0,18.5,0,"may.2016"
"G11","Deer - Buck Antlerless",0,19.5,0,"may.2016"
"A03","Deer - Buck Legal",0,31,0,"may.2016"
"A13","Deer - Buck Legal",3,31,0.0967741935483871,"may.2016"
"B02","Deer - Buck Legal",8,25.5,0.313725490196078,"may.2016"
"B04","Deer - Buck Legal",3,25.5,0.117647058823529,"may.2016"
"B06","Deer - Buck Legal",2,26.5,0.0754716981132075,"may.2016"
"B08","Deer - Buck Legal",4,31,0.129032258064516,"may.2016"
"B10","Deer - Buck Legal",4,31,0.129032258064516,"may.2016"
"B12","Deer - Buck Legal",0,31,0,"may.2016"
"B14","Deer - Buck Legal",1,31,0.032258064516129,"may.2016"
"C03","Deer - Buck Legal",0,31,0,"may.2016"
"C05","Deer - Buck Legal",2,20.5,0.0975609756097561,"may.2016"
"C07","Deer - Buck Legal",3,31,0.0967741935483871,"may.2016"
"C09","Deer - Buck Legal",0,31,0,"may.2016"
"C11","Deer - Buck Legal",0,31,0,"may.2016"
"C15","Deer - Buck Legal",0,12.5,0,"may.2016"
"C17","Deer - Buck Legal",0,12.5,0,"may.2016"
"D04","Deer - Buck Legal",5,31,0.161290322580645,"may.2016"
"D06","Deer - Buck Legal",0,20.5,0,"may.2016"
"D08","Deer - Buck Legal",0,10.5,0,"may.2016"
"D10","Deer - Buck Legal",1,14.5,0.0689655172413793,"may.2016"
"D12","Deer - Buck Legal",0,31,0,"may.2016"
"D14","Deer - Buck Legal",0,12.5,0,"may.2016"
"E05","Deer - Buck Legal",3,31,0.0967741935483871,"may.2016"
"E07","Deer - Buck Legal",4,18.5,0.216216216216216,"may.2016"
"E09","Deer - Buck Legal",3,31,0.0967741935483871,"may.2016"
"E11","Deer - Buck Legal",9,12.5,0.72,"may.2016"
"E13","Deer - Buck Legal",0,31,0,"may.2016"
"E15","Deer - Buck Legal",0,31,0,"may.2016"
"E17","Deer - Buck Legal",0,30.5,0,"may.2016"
"F06","Deer - Buck Legal",1,31,0.032258064516129,"may.2016"
"F08","Deer - Buck Legal",0,31,0,"may.2016"
"F10","Deer - Buck Legal",0,31,0,"may.2016"
"G09","Deer - Buck Legal",1,18.5,0.0540540540540541,"may.2016"
"G11","Deer - Buck Legal",1,19.5,0.0512820512820513,"may.2016"
"A03","Deer - Buck Spike",0,31,0,"may.2016"
"A13","Deer - Buck Spike",2,31,0.0645161290322581,"may.2016"
"B02","Deer - Buck Spike",0,25.5,0,"may.2016"
"B04","Deer - Buck Spike",0,25.5,0,"may.2016"
"B06","Deer - Buck Spike",0,26.5,0,"may.2016"
"B08","Deer - Buck Spike",1,31,0.032258064516129,"may.2016"
"B10","Deer - Buck Spike",0,31,0,"may.2016"
"B12","Deer - Buck Spike",0,31,0,"may.2016"
"B14","Deer - Buck Spike",4,31,0.129032258064516,"may.2016"
"C03","Deer - Buck Spike",0,31,0,"may.2016"
"C05","Deer - Buck Spike",1,20.5,0.0487804878048781,"may.2016"
"C07","Deer - Buck Spike",6,31,0.193548387096774,"may.2016"
"C09","Deer - Buck Spike",0,31,0,"may.2016"
"C11","Deer - Buck Spike",1,31,0.032258064516129,"may.2016"
"C15","Deer - Buck Spike",1,12.5,0.08,"may.2016"
"C17","Deer - Buck Spike",2,12.5,0.16,"may.2016"
"D04","Deer - Buck Spike",6,31,0.193548387096774,"may.2016"
"D06","Deer - Buck Spike",0,20.5,0,"may.2016"
"D08","Deer - Buck Spike",0,10.5,0,"may.2016"
"D10","Deer - Buck Spike",1,14.5,0.0689655172413793,"may.2016"
"D12","Deer - Buck Spike",2,31,0.0645161290322581,"may.2016"
"D14","Deer - Buck Spike",0,12.5,0,"may.2016"
"E05","Deer - Buck Spike",0,31,0,"may.2016"
"E07","Deer - Buck Spike",2,18.5,0.108108108108108,"may.2016"
"E09","Deer - Buck Spike",4,31,0.129032258064516,"may.2016"
"E11","Deer - Buck Spike",3,12.5,0.24,"may.2016"
"E13","Deer - Buck Spike",0,31,0,"may.2016"
"E15","Deer - Buck Spike",0,31,0,"may.2016"
"E17","Deer - Buck Spike",0,30.5,0,"may.2016"
"F06","Deer - Buck Spike",5,31,0.161290322580645,"may.2016"
"F08","Deer - Buck Spike",1,31,0.032258064516129,"may.2016"
"F10","Deer - Buck Spike",3,31,0.0967741935483871,"may.2016"
"G09","Deer - Buck Spike",0,18.5,0,"may.2016"
"G11","Deer - Buck Spike",0,19.5,0,"may.2016"
"A03","Deer - Buck Young Button",0,31,0,"may.2016"
