"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bear",0,31,0,"october.2016"
"A13","Bear",0,31,0,"october.2016"
"B04","Bear",0,31,0,"october.2016"
"B06","Bear",0,31,0,"october.2016"
"B08","Bear",0,31,0,"october.2016"
"B10","Bear",0,31,0,"october.2016"
"B12","Bear",0,31,0,"october.2016"
"B14","Bear",0,31,0,"october.2016"
"C03","Bear",2,31,0.0645161290322581,"october.2016"
"C05","Bear",0,31,0,"october.2016"
"C07","Bear",0,31,0,"october.2016"
"C09","Bear",0,31,0,"october.2016"
"C15","Bear",0,31,0,"october.2016"
"C17","Bear",0,31,0,"october.2016"
"D04","Bear",1,31,0.032258064516129,"october.2016"
"D06","Bear",1,31,0.032258064516129,"october.2016"
"D12","Bear",0,31,0,"october.2016"
"D14","Bear",0,31,0,"october.2016"
"D16","Bear",0,31,0,"october.2016"
"E05","Bear",0,31,0,"october.2016"
"E07","Bear",1,31,0.032258064516129,"october.2016"
"E09","Bear",0,31,0,"october.2016"
"E11","Bear",0,31,0,"october.2016"
"E13","Bear",0,31,0,"october.2016"
"E15","Bear",0,31,0,"october.2016"
"E17","Bear",0,31,0,"october.2016"
"F04","Bear",0,31,0,"october.2016"
"F06","Bear",0,31,0,"october.2016"
"F08","Bear",3,31,0.0967741935483871,"october.2016"
"F10","Bear",1,31,0.032258064516129,"october.2016"
"G09","Bear",0,31,0,"october.2016"
"G11","Bear",2,31,0.0645161290322581,"october.2016"
"A03","Bird",0,31,0,"october.2016"
"A13","Bird",0,31,0,"october.2016"
"B04","Bird",0,31,0,"october.2016"
"B06","Bird",0,31,0,"october.2016"
"B08","Bird",0,31,0,"october.2016"
"B10","Bird",0,31,0,"october.2016"
"B12","Bird",0,31,0,"october.2016"
"B14","Bird",0,31,0,"october.2016"
"C03","Bird",1,31,0.032258064516129,"october.2016"
"C05","Bird",0,31,0,"october.2016"
"C07","Bird",0,31,0,"october.2016"
"C09","Bird",0,31,0,"october.2016"
"C15","Bird",0,31,0,"october.2016"
"C17","Bird",0,31,0,"october.2016"
"D04","Bird",0,31,0,"october.2016"
"D06","Bird",0,31,0,"october.2016"
"D12","Bird",0,31,0,"october.2016"
"D14","Bird",0,31,0,"october.2016"
"D16","Bird",0,31,0,"october.2016"
"E05","Bird",0,31,0,"october.2016"
"E07","Bird",0,31,0,"october.2016"
"E09","Bird",0,31,0,"october.2016"
"E11","Bird",0,31,0,"october.2016"
"E13","Bird",0,31,0,"october.2016"
"E15","Bird",0,31,0,"october.2016"
"E17","Bird",1,31,0.032258064516129,"october.2016"
"F04","Bird",0,31,0,"october.2016"
"F06","Bird",0,31,0,"october.2016"
"F08","Bird",1,31,0.032258064516129,"october.2016"
"F10","Bird",0,31,0,"october.2016"
"G09","Bird",0,31,0,"october.2016"
"G11","Bird",1,31,0.032258064516129,"october.2016"
"A03","Bobcat",0,31,0,"october.2016"
"A13","Bobcat",0,31,0,"october.2016"
"B04","Bobcat",0,31,0,"october.2016"
"B06","Bobcat",0,31,0,"october.2016"
"B08","Bobcat",0,31,0,"october.2016"
"B10","Bobcat",0,31,0,"october.2016"
"B12","Bobcat",0,31,0,"october.2016"
"B14","Bobcat",0,31,0,"october.2016"
"C03","Bobcat",0,31,0,"october.2016"
"C05","Bobcat",0,31,0,"october.2016"
"C07","Bobcat",0,31,0,"october.2016"
"C09","Bobcat",0,31,0,"october.2016"
"C15","Bobcat",1,31,0.032258064516129,"october.2016"
"C17","Bobcat",0,31,0,"october.2016"
"D04","Bobcat",1,31,0.032258064516129,"october.2016"
"D06","Bobcat",0,31,0,"october.2016"
"D12","Bobcat",0,31,0,"october.2016"
"D14","Bobcat",3,31,0.0967741935483871,"october.2016"
"D16","Bobcat",1,31,0.032258064516129,"october.2016"
"E05","Bobcat",0,31,0,"october.2016"
"E07","Bobcat",0,31,0,"october.2016"
"E09","Bobcat",0,31,0,"october.2016"
"E11","Bobcat",0,31,0,"october.2016"
"E13","Bobcat",0,31,0,"october.2016"
"E15","Bobcat",0,31,0,"october.2016"
"E17","Bobcat",1,31,0.032258064516129,"october.2016"
"F04","Bobcat",0,31,0,"october.2016"
"F06","Bobcat",0,31,0,"october.2016"
"F08","Bobcat",0,31,0,"october.2016"
"F10","Bobcat",0,31,0,"october.2016"
"G09","Bobcat",0,31,0,"october.2016"
"G11","Bobcat",0,31,0,"october.2016"
"A03","Coyote",1,31,0.032258064516129,"october.2016"
"A13","Coyote",1,31,0.032258064516129,"october.2016"
"B04","Coyote",0,31,0,"october.2016"
"B06","Coyote",1,31,0.032258064516129,"october.2016"
"B08","Coyote",0,31,0,"october.2016"
"B10","Coyote",3,31,0.0967741935483871,"october.2016"
"B12","Coyote",2,31,0.0645161290322581,"october.2016"
"B14","Coyote",0,31,0,"october.2016"
"C03","Coyote",0,31,0,"october.2016"
"C05","Coyote",0,31,0,"october.2016"
"C07","Coyote",0,31,0,"october.2016"
"C09","Coyote",0,31,0,"october.2016"
"C15","Coyote",2,31,0.0645161290322581,"october.2016"
"C17","Coyote",2,31,0.0645161290322581,"october.2016"
"D04","Coyote",2,31,0.0645161290322581,"october.2016"
"D06","Coyote",1,31,0.032258064516129,"october.2016"
"D12","Coyote",1,31,0.032258064516129,"october.2016"
"D14","Coyote",4,31,0.129032258064516,"october.2016"
"D16","Coyote",3,31,0.0967741935483871,"october.2016"
"E05","Coyote",0,31,0,"october.2016"
"E07","Coyote",0,31,0,"october.2016"
"E09","Coyote",0,31,0,"october.2016"
"E11","Coyote",1,31,0.032258064516129,"october.2016"
"E13","Coyote",0,31,0,"october.2016"
"E15","Coyote",1,31,0.032258064516129,"october.2016"
"E17","Coyote",0,31,0,"october.2016"
"F04","Coyote",0,31,0,"october.2016"
"F06","Coyote",0,31,0,"october.2016"
"F08","Coyote",0,31,0,"october.2016"
"F10","Coyote",0,31,0,"october.2016"
"G09","Coyote",0,31,0,"october.2016"
"G11","Coyote",0,31,0,"october.2016"
"A03","Deer - Buck Legal",7,31,0.225806451612903,"october.2016"
"A13","Deer - Buck Legal",0,31,0,"october.2016"
"B04","Deer - Buck Legal",38,31,1.2258064516129,"october.2016"
"B06","Deer - Buck Legal",15,31,0.483870967741935,"october.2016"
"B08","Deer - Buck Legal",11,31,0.354838709677419,"october.2016"
"B10","Deer - Buck Legal",5,31,0.161290322580645,"october.2016"
"B12","Deer - Buck Legal",13,31,0.419354838709677,"october.2016"
"B14","Deer - Buck Legal",19,31,0.612903225806452,"october.2016"
"C03","Deer - Buck Legal",13,31,0.419354838709677,"october.2016"
"C05","Deer - Buck Legal",2,31,0.0645161290322581,"october.2016"
"C07","Deer - Buck Legal",3,31,0.0967741935483871,"october.2016"
"C09","Deer - Buck Legal",4,31,0.129032258064516,"october.2016"
"C15","Deer - Buck Legal",7,31,0.225806451612903,"october.2016"
"C17","Deer - Buck Legal",0,31,0,"october.2016"
"D04","Deer - Buck Legal",25,31,0.806451612903226,"october.2016"
"D06","Deer - Buck Legal",9,31,0.290322580645161,"october.2016"
"D12","Deer - Buck Legal",0,31,0,"october.2016"
"D14","Deer - Buck Legal",9,31,0.290322580645161,"october.2016"
"D16","Deer - Buck Legal",3,31,0.0967741935483871,"october.2016"
"E05","Deer - Buck Legal",0,31,0,"october.2016"
"E07","Deer - Buck Legal",8,31,0.258064516129032,"october.2016"
"E09","Deer - Buck Legal",3,31,0.0967741935483871,"october.2016"
"E11","Deer - Buck Legal",7,31,0.225806451612903,"october.2016"
"E13","Deer - Buck Legal",2,31,0.0645161290322581,"october.2016"
"E15","Deer - Buck Legal",4,31,0.129032258064516,"october.2016"
"E17","Deer - Buck Legal",1,31,0.032258064516129,"october.2016"
"F04","Deer - Buck Legal",3,31,0.0967741935483871,"october.2016"
"F06","Deer - Buck Legal",4,31,0.129032258064516,"october.2016"
"F08","Deer - Buck Legal",51,31,1.64516129032258,"october.2016"
"F10","Deer - Buck Legal",4,31,0.129032258064516,"october.2016"
"G09","Deer - Buck Legal",16,31,0.516129032258065,"october.2016"
"G11","Deer - Buck Legal",1,31,0.032258064516129,"october.2016"
"A03","Deer - Buck Spike",2,31,0.0645161290322581,"october.2016"
"A13","Deer - Buck Spike",3,31,0.0967741935483871,"october.2016"
"B04","Deer - Buck Spike",13,31,0.419354838709677,"october.2016"
"B06","Deer - Buck Spike",1,31,0.032258064516129,"october.2016"
"B08","Deer - Buck Spike",1,31,0.032258064516129,"october.2016"
"B10","Deer - Buck Spike",2,31,0.0645161290322581,"october.2016"
