"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bear",0,30,0,"september.2020"
"A13","Bear",0,30,0,"september.2020"
"B02","Bear",1,30,0.0333333333333333,"september.2020"
"B04","Bear",0,30,0,"september.2020"
"B06","Bear",0,30,0,"september.2020"
"B08","Bear",0,30,0,"september.2020"
"B10","Bear",0,30,0,"september.2020"
"B12","Bear",0,30,0,"september.2020"
"B14","Bear",0,30,0,"september.2020"
"C03","Bear",3,30,0.1,"september.2020"
"C05","Bear",0,7,0,"september.2020"
"C07","Bear",0,30,0,"september.2020"
"C09","Bear",0,30,0,"september.2020"
"C11","Bear",0,30,0,"september.2020"
"C15","Bear",0,30,0,"september.2020"
"C17","Bear",0,30,0,"september.2020"
"D04","Bear",0,7,0,"september.2020"
"D06","Bear",0,8,0,"september.2020"
"D08","Bear",0,8,0,"september.2020"
"D10","Bear",0,6,0,"september.2020"
"D12","Bear",0,21,0,"september.2020"
"D14","Bear",0,30,0,"september.2020"
"D16","Bear",0,30,0,"september.2020"
"E05","Bear",0,30,0,"september.2020"
"E07","Bear",0,8,0,"september.2020"
"E09","Bear",1,30,0.0333333333333333,"september.2020"
"E11","Bear",0,30,0,"september.2020"
"E13","Bear",0,30,0,"september.2020"
"E15","Bear",0,30,0,"september.2020"
"E17","Bear",0,30,0,"september.2020"
"F04","Bear",0,30,0,"september.2020"
"F06","Bear",0,30,0,"september.2020"
"F08","Bear",0,30,0,"september.2020"
"F10","Bear",0,30,0,"september.2020"
"G09","Bear",0,30,0,"september.2020"
"G11","Bear",0,30,0,"september.2020"
"A03","Bird",0,30,0,"september.2020"
"A13","Bird",2,30,0.0666666666666667,"september.2020"
"B02","Bird",1,30,0.0333333333333333,"september.2020"
"B04","Bird",0,30,0,"september.2020"
"B06","Bird",0,30,0,"september.2020"
"B08","Bird",0,30,0,"september.2020"
"B10","Bird",0,30,0,"september.2020"
"B12","Bird",0,30,0,"september.2020"
"B14","Bird",0,30,0,"september.2020"
"C03","Bird",5,30,0.166666666666667,"september.2020"
"C05","Bird",0,7,0,"september.2020"
"C07","Bird",0,30,0,"september.2020"
"C09","Bird",0,30,0,"september.2020"
"C11","Bird",2,30,0.0666666666666667,"september.2020"
"C15","Bird",0,30,0,"september.2020"
"C17","Bird",0,30,0,"september.2020"
"D04","Bird",0,7,0,"september.2020"
"D06","Bird",0,8,0,"september.2020"
"D08","Bird",0,8,0,"september.2020"
"D10","Bird",0,6,0,"september.2020"
"D12","Bird",0,21,0,"september.2020"
"D14","Bird",0,30,0,"september.2020"
"D16","Bird",0,30,0,"september.2020"
"E05","Bird",0,30,0,"september.2020"
"E07","Bird",0,8,0,"september.2020"
"E09","Bird",1,30,0.0333333333333333,"september.2020"
"E11","Bird",0,30,0,"september.2020"
"E13","Bird",0,30,0,"september.2020"
"E15","Bird",0,30,0,"september.2020"
"E17","Bird",0,30,0,"september.2020"
