Camera,Month,Bobcat_RAI,Fire,Grazed
A03,august.2018,0,Y,N
A13,august.2018,0,N,N
B02,august.2018,0.03571429,Y,N
B04,august.2018,0,Y,N
B06,august.2018,0,Y,N
B08,august.2018,0,Y,N
B10,august.2018,0.03225806,Y,N
B12,august.2018,0,N,Y
B14,august.2018,0.03225806,N,N
C03,august.2018,0.16129032,Y,N
C07,august.2018,0,Y,N
C09,august.2018,0,Y,N
C11,august.2018,0,Y,Y
C15,august.2018,0,N,Y
C17,august.2018,0,N,N
D04,august.2018,0,Y,N
D06,august.2018,0.1,Y,N
D08,august.2018,0,Y,N
D12,august.2018,0.03225806,N,N
D14,august.2018,0,N,N
D16,august.2018,0,N,Y
E05,august.2018,0.03225806,Y,N
E07,august.2018,0,Y,N
E09,august.2018,0,Y,N
E11,august.2018,0,Y,N
E13,august.2018,0,N,Y
E15,august.2018,0.03225806,N,N
E17,august.2018,0,N,Y
F04,august.2018,0,Y,N
F06,august.2018,0,Y,N
F08,august.2018,0,Y,N
F10,august.2018,0,Y,N
G09,august.2018,0,Y,N
G11,august.2018,0,Y,N
A03,september.2018,0,Y,N
A13,september.2018,0,N,N
B02,september.2018,0,Y,N
B04,september.2018,0,Y,N
B06,september.2018,0,Y,N
B08,september.2018,0,Y,N
B10,september.2018,0,Y,N
B12,september.2018,0,N,Y
B14,september.2018,0,N,N
C03,september.2018,0.1,Y,N
C07,september.2018,0.03333333,Y,N
C09,september.2018,0,Y,N
C11,september.2018,0,Y,Y
C15,september.2018,0.06666667,N,Y
C17,september.2018,0,N,N
D04,september.2018,0,Y,N
D06,september.2018,0.1,Y,N
D12,september.2018,0.06666667,N,N
D14,september.2018,0,N,N
D16,september.2018,0,N,Y
E05,september.2018,0.06666667,Y,N
E07,september.2018,0,Y,N
E09,september.2018,0,Y,N
E11,september.2018,0,Y,N
E13,september.2018,0,N,Y
E15,september.2018,0,N,N
E17,september.2018,0,N,Y
F04,september.2018,0.16666667,Y,N
F06,september.2018,0,Y,N
F08,september.2018,0,Y,N
F10,september.2018,0,Y,N
G09,september.2018,0.03333333,Y,N
G11,september.2018,0,Y,N
A03,october.2018,0,Y,N
A13,october.2018,0,N,N
B02,october.2018,0.03225806,Y,N
B04,october.2018,0.06451613,Y,N
B06,october.2018,0,Y,N
B08,october.2018,0,Y,N
B10,october.2018,0,Y,N
B12,october.2018,0,N,Y
B14,october.2018,0.06451613,N,N
C03,october.2018,0.16129032,Y,N
C05,october.2018,0,Y,N
C07,october.2018,0,Y,N
C09,october.2018,0,Y,N
C11,october.2018,0,Y,Y
C15,october.2018,0.03225806,N,Y
C17,october.2018,0,N,N
D06,october.2018,0.09677419,Y,N
D12,october.2018,0.16129032,N,N
D14,october.2018,0,N,N
D16,october.2018,0,N,Y
E05,october.2018,0,Y,N
E07,october.2018,0,Y,N
E09,october.2018,0,Y,N
E11,october.2018,0,Y,N
E13,october.2018,0,N,Y
E15,october.2018,0,N,N
E17,october.2018,0,N,Y
F04,october.2018,0,Y,N
F06,october.2018,0.03225806,Y,N
F08,october.2018,0.03225806,Y,N
F10,october.2018,0,Y,N
G09,october.2018,0,Y,N
G11,october.2018,0,Y,N
A03,november.2018,0,Y,N
A13,november.2018,0,N,N
B02,november.2018,0,Y,N
B04,november.2018,0,Y,N
B06,november.2018,0,Y,N
B08,november.2018,0,Y,N
B10,november.2018,0,Y,N
B12,november.2018,0,N,Y
B14,november.2018,0,N,N
C03,november.2018,0.06666667,Y,N
C05,november.2018,0,Y,N
C07,november.2018,0,Y,N
C09,november.2018,0,Y,N
C11,november.2018,0.03333333,Y,Y
C15,november.2018,0.06666667,N,Y
C17,november.2018,0,N,N
D04,november.2018,0.06666667,Y,N
D06,november.2018,0.03333333,Y,N
D12,november.2018,0.2,N,N
D14,november.2018,0,N,N
D16,november.2018,0,N,Y
E05,november.2018,0,Y,N
E07,november.2018,0,Y,N
E09,november.2018,0,Y,N
E11,november.2018,0,Y,N
E13,november.2018,0,N,Y
E15,november.2018,0,N,N
E17,november.2018,0,N,Y
F04,november.2018,0,Y,N
F06,november.2018,0.03333333,Y,N
F08,november.2018,0,Y,N
F10,november.2018,0,Y,N
G09,november.2018,0,Y,N
G11,november.2018,0,Y,N
A03,december.2018,0,Y,N
A13,december.2018,0,N,N
B02,december.2018,0.03225806,Y,N
B04,december.2018,0.03225806,Y,N
B06,december.2018,0,Y,N
B08,december.2018,0,Y,N
B10,december.2018,0,Y,N
B12,december.2018,0,N,Y
B14,december.2018,0,N,N
C03,december.2018,0,Y,N
C05,december.2018,0,Y,N
C07,december.2018,0,Y,N
C09,december.2018,0.03225806,Y,N
C15,december.2018,0.06451613,N,Y
C17,december.2018,0,N,N
D04,december.2018,0,Y,N
D06,december.2018,0.16129032,Y,N
D08,december.2018,0,Y,N
D10,december.2018,0.03225806,Y,N
