Camera,Month,Bobcat_RAI,Fire
A03,april.2016,0,N
A13,april.2016,0,N
B08,april.2016,0,N
B10,april.2016,0,N
B12,april.2016,0,N
B14,april.2016,0,N
C03,april.2016,0,N
C07,april.2016,0,N
C09,april.2016,0,N
C11,april.2016,0,N
D04,april.2016,0,N
D12,april.2016,0,N
E05,april.2016,0.03571429,N
E09,april.2016,0,N
E13,april.2016,0.034482759,N
E15,april.2016,0,N
F06,april.2016,0,N
F08,april.2016,0.033333333,N
F10,april.2016,0,N
A03,may.2016,0,N
A13,may.2016,0,N
B02,may.2016,0,N
B04,may.2016,0,N
B06,may.2016,0,N
B08,may.2016,0,N
B10,may.2016,0.03225806,N
B12,may.2016,0,N
B14,may.2016,0,N
C03,may.2016,0.06451613,N
C05,may.2016,0,N
C07,may.2016,0,N
C09,may.2016,0,N
C11,may.2016,0,N
C15,may.2016,0,N
C17,may.2016,0,N
D04,may.2016,0,N
D06,may.2016,0,N
D08,may.2016,0,N
D10,may.2016,0,N
D12,may.2016,0,N
D14,may.2016,0,N
E05,may.2016,0,N
E07,may.2016,0.05263158,N
E09,may.2016,0,N
E11,may.2016,0.076923077,N
E13,may.2016,0,N
E15,may.2016,0,N
E17,may.2016,0,N
F06,may.2016,0,N
F08,may.2016,0,N
F10,may.2016,0,N
G09,may.2016,0,N
G11,may.2016,0,N
A03,june.2016,0,N
A13,june.2016,0,N
B02,june.2016,0,N
B04,june.2016,0,N
B06,june.2016,0.03333333,N
B08,june.2016,0,N
B10,june.2016,0,N
B12,june.2016,0,N
B14,june.2016,0,N
C03,june.2016,0,N
C05,june.2016,0,N
C07,june.2016,0,N
C09,june.2016,0,N
C11,june.2016,0,N
C15,june.2016,0,N
C17,june.2016,0,N
D04,june.2016,0,N
D06,june.2016,0,N
D08,june.2016,0,N
D10,june.2016,0,N
D12,june.2016,0,N
D14,june.2016,0,N
D16,june.2016,0,N
E05,june.2016,0,N
E07,june.2016,0,N
E09,june.2016,0,N
E11,june.2016,0,N
E13,june.2016,0,N
E15,june.2016,0,N
E17,june.2016,0,N
F06,june.2016,0,N
F08,june.2016,0,N
F10,june.2016,0,N
G09,june.2016,0,N
G11,june.2016,0,N
