Camera,Phase,Latitude,Longitude,Start,End,Problem1_From,Problem1_To,Operation,Foxlight,Sheep_Presence
Cam01,Phase1,39.00481,-123.09086,10/7/18,11/10/18,,,34,FoxN,Y
Cam01,Phase2,39.00481,-123.09086,11/10/18,1/13/19,,,64,FoxY,Y
Cam01,Phase3,39.00481,-123.09086,1/13/19,2/17/19,,,35,FoxN,Y
Cam01,Phase4,39.00481,-123.09086,2/17/19,3/24/19,,,35,FoxY,N
Cam01,Phase5,39.00481,-123.09086,03/24/19,6/16/19,5/2/19,6/16/19,39,FoxN,N
Cam01,Phase6,39.00481,-123.09086,6/16/19,8/29/19,6/16/19,8/29/19,0,FoxY,
Cam01,Phase7,39.00481,-123.09086,8/29/19,10/10/19,,,42,FoxN,N
Cam01,Phase8,39.00481,-123.09086,10/10/19,12/11/19,,,62,FoxY,Y
Cam01,Phase9,39.00481,-123.09086,12/11/19,1/29/20,,,49,FoxN,Y
Cam02,Phase1,39.00682,-123.09022,10/7/18,11/10/18,,,34,FoxY,N
Cam02,Phase2,39.00682,-123.09022,11/10/18,1/13/19,,,64,FoxN,Y
Cam02,Phase3,39.00682,-123.09022,1/13/19,2/17/19,,,35,FoxY,Y
Cam02,Phase4,39.00682,-123.09022,2/17/19,3/24/19,,,35,FoxN,N
Cam02,Phase5,39.00682,-123.09022,3/24/19,6/16/19,5/1/19,6/16/19,38,FoxY,N
Cam02,Phase6,39.00682,-123.09022,6/16/19,8/29/19,6/16/19,8/29/19,0,FoxN,
Cam02,Phase7,39.00682,-123.09022,8/29/19,10/10/19,,,42,FoxY,N
Cam02,Phase8,39.00682,-123.09022,10/10/19,12/11/19,,,62,FoxN,Y
Cam02,Phase9,39.00682,-123.09022,12/11/19,1/29/20,,,49,FoxY,Y
Cam03,Phase1,39.01852,-123.09297,10/6/18,11/18/18,,,43,FoxN,N
Cam03,Phase2,39.01852,-123.09297,11/18/18,1/13/19,,,56,FoxY,N
Cam03,Phase3,39.01852,-123.09297,1/13/19,2/17/19,2/6/19,2/17/19,24,FoxN,N
Cam03,Phase4,39.01852,-123.09297,2/17/19,3/24/19,,,35,FoxY,N
Cam03,Phase5,39.01852,-123.09297,3/24/19,6/16/19,4/29/19,6/16/19,36,FoxN,N
Cam03,Phase6,39.01852,-123.09297,6/27/19,8/29/19,6/30/19,8/29/19,3,FoxY,N
Cam03,Phase7,39.01852,-123.09297,8/29/19,10/10/19,8/29/19,10/10/19,0,FoxN,
Cam03,Phase8,39.01852,-123.09297,10/10/19,12/11/19,,,62,FoxY,N
Cam03,Phase9,39.01852,-123.09297,12/11/19,1/29/20,,,49,FoxN,N
Cam04,Phase1,39.01967,-123.09402,10/6/18,11/18/18,,,43,FoxY,N
Cam04,Phase2,39.01967,-123.09402,11/18/18,1/13/19,,,56,FoxN,N
Cam04,Phase3,39.01967,-123.09402,1/13/19,2/17/19,,,35,FoxY,N
Cam04,Phase4,39.01967,-123.09402,2/17/19,3/24/19,,,35,FoxN,N
Cam04,Phase5,39.01967,-123.09402,3/24/19,6/16/19,4/29/19,6/16/19,36,FoxY,N
Cam04,Phase6,39.01967,-123.09402,6/27/19,8/29/19,,,63,FoxN,N
Cam04,Phase7,39.01967,-123.09402,8/29/19,10/10/19,,,42,FoxY,N
Cam04,Phase8,39.01967,-123.09402,10/10/19,12/11/19,,,62,FoxN,N
Cam04,Phase9,39.01967,-123.09402,12/11/19,1/29/20,,,49,FoxY,N
Cam05,Phase1,38.99844,-123.07067,10/7/18,11/10/18,,,34,FoxN,N
Cam05,Phase2,38.99844,-123.07067,11/10/18,1/13/19,,,64,FoxY,Y
Cam05,Phase3,38.99844,-123.07067,1/13/19,2/17/19,,,35,FoxN,Y
Cam05,Phase4,38.99844,-123.07067,2/17/19,3/24/19,,,35,FoxY,Y
Cam05,Phase5,38.99844,-123.07067,3/24/19,6/27/19,,,95,FoxN,Y
Cam05,Phase6,38.99844,-123.07067,6/27/19,8/29/19,6/27/19,8/29/19,0,FoxY,
Cam05,Phase7,38.99844,-123.07067,8/29/19,10/10/19,,,42,FoxN,N
Cam05,Phase8,38.99844,-123.07067,10/10/19,12/11/19,,,62,FoxY,Y
Cam05,Phase9,38.99844,-123.07067,12/11/19,1/29/20,,,49,FoxN,N
Cam06,Phase1,38.99792,-123.06911,10/7/18,11/10/18,,,34,FoxY,N
Cam06,Phase2,38.99792,-123.06911,11/10/18,1/13/19,,,64,FoxN,Y
Cam06,Phase3,38.99792,-123.06911,1/13/19,2/17/19,,,35,FoxY,Y
