Camera,Season,LYRU.RAI
A03,Spring,0.004372759
A03,Summer,0
A03,Fall,0.002150537
A03,Winter,0
A13,Spring,0
A13,Summer,0
A13,Fall,0.004372759
A13,Winter,0.00453149
B02,Spring,0.009293394
B02,Summer,0.00453149
B02,Fall,0.03283154
B02,Winter,0.02219662
B04,Spring,0.01017164
B04,Summer,0.004301075
B04,Fall,0.006523297
B04,Winter,0.05076672
B06,Spring,0.01390169
B06,Summer,0.008745519
B06,Fall,0.008817204
B06,Winter,0.0109831
B08,Spring,0.002222222
B08,Summer,0
B08,Fall,0
B08,Winter,0
B10,Spring,0.006594982
B10,Summer,0.004301075
B10,Fall,0
B10,Winter,0.02388633
B12,Spring,0.007066052
B12,Summer,0.008817204
B12,Fall,0.004372759
B12,Winter,0.0109831
B14,Spring,0.004444444
B14,Summer,0.004301075
B14,Fall,0.01971326
B14,Winter,0.006682028
C03,Spring,0.1017204
C03,Summer,0.05677419
C03,Fall,0.0883871
C03,Winter,0.1209677
C05,Spring,0
C05,Summer,0
C05,Fall,0.002564102
C05,Winter,0.004301075
C07,Spring,0
C07,Summer,0.002304147
C07,Fall,0.002222222
C07,Winter,0.002150537
C09,Spring,0.004301075
C09,Summer,0
C09,Fall,0.004301075
C09,Winter,0.002150537
C11,Spring,0.008673835
C11,Summer,0.01365915
C11,Fall,0.006523297
C11,Winter,0.004608295
C15,Spring,0.06186636
C15,Summer,0.004301075
C15,Fall,0.03526882
C15,Winter,0.08855607
C17,Spring,0.002481389
C17,Summer,0.004301075
C17,Fall,0
C17,Winter,0.01144393
D04,Spring,0.004608294
D04,Summer,0
D04,Fall,0.01175115
D04,Winter,0.004301075
D06,Spring,0.03019024
D06,Summer,0.01379928
D06,Fall,0.02091887
D06,Winter,0.0464944
D08,Spring,0
D08,Summer,0.002777778
D08,Fall,0.008333333
D08,Winter,0.0151542
D10,Spring,0.01340595
D10,Summer,0.008888889
D10,Fall,0.004166666
D10,Winter,0.01763559
D12,Spring,0.04351254
D12,Summer,0.01297491
D12,Fall,0.03519713
D12,Winter,0.05560676
D14,Spring,0.0140553
D14,Summer,0.006523297
D14,Fall,0.01089606
D14,Winter,0.00453149
D16,Spring,0.002481389
D16,Summer,0.002150537
D16,Fall,0.002150537
D16,Winter,0.006451612
E05,Spring,0.02549291
E05,Summer,0.002150537
E05,Fall,0.01103943
E05,Winter,0.02980031
E07,Spring,0.003759399
E07,Summer,0.002150537
E07,Fall,0
E07,Winter,0
E09,Spring,0
E09,Summer,0
E09,Fall,0.002222222
E09,Winter,0
E11,Spring,0.007798653
E11,Summer,0.002150538
E11,Fall,0
E11,Winter,0.009293395
E13,Spring,0.01534544
E13,Summer,0
E13,Fall,0.004372759
E13,Winter,0.002150537
E15,Spring,0.009370199
E15,Summer,0.01311828
E15,Fall,0.01978495
E15,Winter,0.01313364
E17,Spring,0
E17,Summer,0
E17,Fall,0.006523297
E17,Winter,0
F04,Spring,0.002932551
F04,Summer,0
F04,Fall,0.02
F04,Winter,0.002551021
F06,Spring,0
F06,Summer,0.002150537
F06,Fall,0.004372759
F06,Winter,0.002380953
F08,Spring,0.01096774
F08,Summer,0
F08,Fall,0.006594981
F08,Winter,0.006682028
F10,Spring,0
F10,Summer,0
F10,Fall,0
F10,Winter,0.004301075
G09,Spring,0.004685099
G09,Summer,0
G09,Fall,0.008745519
G09,Winter,0.006682027
G11,Spring,0.0101737
G11,Summer,0
G11,Fall,0.004444445
G11,Winter,0.01121352
