Camera,Month,Operation,Count,Bobcat_RAI,Sheep_RAI,Sheep,Dog_Count,Dog_RAI,Dog_RAI_Scaled,Dog,Individual_Dog,Dogs_Scaled,Fire,Season,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,road.dist.clean,elevation.clean,slope.clean,vegetation.coarser.clean
A03,april.2016,28.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.689526618,-1.090613365,-1.087444544,-0.166420594,0.260363519,-0.336118668,-0.403376549,-0.175954252,Woodland
A13,april.2016,17.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.593704879,-0.644418061,-0.550065875,-0.99749136,-0.72630167,-0.71219635,-1.310959101,-0.293160945,Grassland
B08,april.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,0.160694301,-0.431497335,-0.631845057,-0.909693956,-1.215317488,-0.953355253,-0.631862342,0.018598881,Woodland
B10,april.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.817209959,-0.956948936,-1.09750247,-0.244867504,-0.359064817,-0.894422531,-1.153982282,-0.419546425,Woodland
B12,april.2016,17.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,0.432242572,2.049540997,2.555002213,0.815975428,0.334200889,-0.093117177,-0.933145761,1.902149558,Chaparral
B14,april.2016,17.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.415296704,-0.555824876,0.105729274,0.807440996,0.611744106,1.252879024,-1.038579583,-0.755229831,Woodland
C03,april.2016,27.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.580511272,-0.277040094,0.689302981,1.395167112,0.993032634,-0.644801378,1.108817816,-1.520596504,Woodland
C07,april.2016,22.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,0.422941238,0.11361102,-0.297320783,-0.400353879,-0.546584666,-0.229024932,0.116062872,-0.446681172,Grassland
C09,april.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.873957515,-0.90191406,-0.541532218,-0.62086463,-0.758101702,-0.504206955,-0.480375111,-1.111581326,Grassland
C11,april.2016,28.5,0,0,1.0689655,Y,3,0.10344828,1.871669,Y,2,5.365251693,N,Spring,-0.297726274,-0.11746864,-0.431061387,-0.714744329,-0.091980778,1.283265352,-0.868571937,-0.662696481,Grassland
D04,april.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.912730575,-0.935225844,0.457609206,1.331799507,1.058595538,-0.817798018,1.350430489,-1.526544571,Chaparral
D12,april.2016,28.5,0,0,0,N,1,0.03448276,0.539722,Y,1,2.588054627,N,Spring,1.002958417,0.371602833,0.035271123,-0.709258676,-0.474934995,0.805100262,-0.745918572,-0.429488808,Grassland
E05,april.2016,27.5,1,0.03571429,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.626088738,-0.638937175,-0.601334751,-0.294674069,-0.038113732,-0.703951478,1.65776968,-0.270588815,Chaparral
E09,april.2016,30,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.282340765,-0.642421842,-0.828790665,-1.26664865,-1.444385171,-1.167732,0.269932121,0.079320557,Grassland
E13,april.2016,28.5,1,0.034482759,0.3448276,Y,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.938552082,-1.220218658,-1.146818042,-0.78167367,-0.448038489,-0.900257349,-0.839186609,-1.137272,Woodland
E15,april.2016,21.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.413117498,-0.036241058,-0.162531406,0.030888617,0.146936163,-0.217955336,-0.870527864,0.144351989,Woodland
F06,april.2016,27.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.803610623,-0.691608071,-0.381783813,-0.140444294,-0.222346187,-0.519168794,1.417954922,0.125633106,Grassland
F08,april.2016,30,1,0.033333333,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,-0.763103008,-1.073058248,-0.784784675,-1.083811402,-1.279471755,-0.499613941,0.975879133,-0.645525455,Grassland
F10,april.2016,27.5,0,0,0,N,0,0,-0.1262517,N,0,-0.189142439,N,Spring,0.086445518,-0.636775255,-1.229196072,-1.235325694,-1.323605061,-0.851979136,0.293638736,-0.411188513,Woodland
