Camera,Month,Count,Bobcat_RAI,Sheep_RAI,Sheep,Dog_Count,Dog_RAI,Dog,Individual_Dog,Dogs_Scaled,Fire,Season,rugged81.clean,rugged121.clean,road.dist.clean,elevation.clean,slope.clean,vegetation.coarser.clean
A03,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.166420594,0.260363519,-0.336118668,-0.403376549,-0.175954252,Woodland
A13,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.99749136,-0.72630167,-0.71219635,-1.310959101,-0.293160945,Grassland
B02,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,1.356940627,1.255166888,0.103288978,0.760355115,0.926839113,Chaparral
B04,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.723082721,-0.178873166,-0.079486586,-0.090064593,0.457511187,Woodland
B06,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.657221258,-0.733949065,-0.393291384,-0.175824359,-0.548626602,Woodland
B08,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.909693956,-1.215317488,-0.953355253,-0.631862342,0.018598881,Woodland
B10,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.244867504,-0.359064817,-0.894422531,-1.153982282,-0.419546425,Woodland
B12,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,0.815975428,0.334200889,-0.093117177,-0.933145761,1.902149558,Chaparral
B14,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,0.807440996,0.611744106,1.252879024,-1.038579583,-0.755229831,Woodland
C03,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,1.395167112,0.993032634,-0.644801378,1.108817816,-1.520596504,Woodland
C05,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.192312375,-0.036863964,0.215345636,0.663161099,0.869054139,Woodland
C07,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.400353879,-0.546584666,-0.229024932,0.116062872,-0.446681172,Grassland
C09,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.62086463,-0.758101702,-0.504206955,-0.480375111,-1.111581326,Grassland
C11,june.2017,1,0.03333333,0.6,Y,1,0.03333333,Y,1,2.588054627,N,Summer,-0.714744329,-0.091980778,1.283265352,-0.868571937,-0.662696481,Grassland
C15,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,2.920665979,2.116460323,1.540347815,-0.897571683,1.103635073,Grassland
C17,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,0.740105987,0.393130362,0.513235748,-1.206950784,0.392310947,Grassland
D04,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,1.331799507,1.058595538,-0.817798018,1.350430489,-1.526544571,Chaparral
D06,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.32513687,-0.593026459,-0.019886849,0.91482234,0.388185173,Grassland
D08,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.619850099,-0.830192268,0.529838085,0.244259447,-0.28846249,Grassland
D10,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.83617425,-1.089254737,0.659296572,-0.217530221,-1.004564047,Grassland
D12,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,-0.709258676,-0.474934995,0.805100262,-0.745918572,-0.429488808,Grassland
D14,june.2017,1,0.03333333,0,N,1,0.03333333,Y,1,2.588054627,N,Summer,0.71180594,0.917906046,0.494240791,-0.791820228,1.515193701,Woodland
D16,june.2017,0,0,0,N,0,0,N,0,-0.189142439,N,Summer,1.400452733,1.359361529,-1.029499412,-0.723310411,-0.642665744,Grassland
